BB x*,SD x*
-0.016439664,-0.01643349
0.07418566,0.074180427
0.006966039,0.006978941
0.079307963,0.079302237
-0.037418153,-0.037409125
-0.051484682,-0.051484346
-0.036269955,-0.036275422
-0.015722643,-0.015698562
0.014473263,0.014464253
0.129879539,0.129967484
-0.026849173,-0.026856103
-0.065943909,-0.066032593
-0.000190873,-0.000174067
-0.003679876,-0.003698485
-0.01941111,-0.019407217
-0.00240173,-0.002397241
0.030659258,0.030679213
-0.00111654,-0.001090694
0.04334895,0.043359858
0.054325545,0.054342135
0.010712442,0.010732611
0.168169898,0.168045694
0.02675013,0.026640999
0.059282589,0.059380738
0.040494696,0.040524325
-0.010646695,-0.010687693
-0.00184509,-0.001848463
0.045814711,0.045841483
0.003184461,0.003211292
-0.033473777,-0.033469286
0.039290867,0.039294092
0.044467058,0.044447547
0.061979402,0.061991532
-0.009848147,-0.009860282
0.017489011,0.017514542
0.067053397,0.067037039
0.035284128,0.035321232
0.007237354,0.007223421
-0.075445654,-0.07544491
0.034748469,0.034741741
-0.02217083,-0.022155175
-0.01785435,-0.017858669
0.060415267,0.060470864
0.049143573,0.04911923
0.061502771,0.061503526
0.02139095,0.021352566
0.04503157,0.045009627
-0.05922225,-0.059202807
0.005667279,0.00568473
0.01286094,0.012902681
0.008462974,0.008485085
0.046271136,0.046239381
0.033417398,0.033382023
0.178017271,0.177728334
0.047028733,0.046991926
0.178892,0.178910718
-0.014457742,-0.014447179
0.033638091,0.033608414
-0.033135608,-0.033125621
0.141065633,0.141048699
-0.025469023,-0.025415572
-0.027148591,-0.027132394
0.02710037,0.027097946
0.127737004,0.127717056
0.064399017,0.064363283
-0.047428445,-0.047445378
-0.004098836,-0.004064518
0.037279001,0.037249627
-0.009393649,-0.009349874
-0.000282565,-0.000304775
-0.016735799,-0.01672573
0.045475475,0.045417662
-0.033878054,-0.033844231
0.095704896,0.095652177
0.341014673,0.34112984
-0.015547057,-0.015561218
0.025308253,0.025315682
0.016987531,0.016987947
0.034201355,0.034196579
-0.022644218,-0.02264177
0.014620648,0.014638741
-0.004806348,-0.004762109
0.006941078,0.006954178
0.018253751,0.018292718
0.05301951,0.053023824
0.049656354,0.049773439
0.013664414,0.01364852
-0.017657799,-0.017630996
0.033459975,0.03345646
-0.051432073,-0.051417371
0.005007998,0.004992497
-0.086888679,-0.086829577
-0.037013276,-0.037076857
-0.083908314,-0.083894442
0.000731902,0.000728989
0.047700918,0.047672414
0.075247945,0.075334368
-0.022933299,-0.022816522
-0.013688599,-0.013678817
-0.00636839,-0.006367049
0.021700203,0.02171203
0.048325683,0.048344214
0.017709421,0.017683857
-0.016909363,-0.016884247
0.009720921,0.009713823
-0.025420393,-0.025170266
-0.020347986,-0.020352121
-0.013322536,-0.013316535
-0.086894738,-0.086897107
-0.019455052,-0.0194133
-0.014938927,-0.014903271
-0.045949492,-0.046001953
-0.02286107,-0.022814515
-0.017316852,-0.017306016
-0.02233516,-0.02234876
0.025767931,0.025742852
0.080315878,0.079991421
0.173074298,0.173076227
0.034063497,0.034107716
-0.026697651,-0.026734846
0.02679854,0.026790402
-0.016589065,-0.016584531
0.001192156,0.001193021
-0.116172736,-0.116188092
-0.023687725,-0.023695709
0.028079058,0.028059087
-0.003796734,-0.003794496
0.019707989,0.019724083
0.06558537,0.065579175
0.122105754,0.122083999
0.047530601,0.047507944
-0.120066672,-0.120094707
-0.000562745,-0.000541838
0.039499305,0.039491986
0.017785295,0.017745028
0.032733954,0.03234492
-0.045382509,-0.044804937
0.217098983,0.217467907
-0.029821698,-0.029798043
-0.018225324,-0.018199164
-0.006395616,-0.006404795
0.001797973,0.001798759
0.015079842,0.015079271
0.017875395,0.01787227
-0.009194036,-0.009192944
-0.028465981,-0.028448997
-0.012936036,-0.012927635
-0.031129034,-0.030331169
-0.003595946,-0.003168455
-0.322957739,-0.322469252
0.007648593,0.007679718
0.066569278,0.066578747
0.021415134,0.021393374
0.103081816,0.103105502
-0.007941122,-0.00794499
-0.025082972,-0.025077709
-0.029534238,-0.029550377
-0.004879625,-0.004883972
0.004682645,0.004685451
0.047569618,0.047582914
0.020294228,0.020291123
0.10394852,0.103914405
0.115724891,0.115697402
0.120737836,0.120718682
0.027405997,0.027398961
-0.100163388,-0.099971235
-0.011601362,-0.0121947
0.006402112,0.006748095
-0.013439317,-0.013140007
-0.622434185,-0.615723386
